Question,Option1,Option2,Option3,Option4,Answer
Which planet has the most moons?,Saturn,Jupiter,Mars,Earth,Saturn
What protects Earth from solar winds?,Atmosphere,Magnetosphere,Ozone Layer,Clouds,Magnetosphere
Which is the hottest planet in the solar system?,Mercury,Mars,Venus,Neptune,Venus
What protects Earth from solar winds?,Clouds,Atmosphere,Ozone Layer,Magnetosphere,Magnetosphere
First person on the Moon?,Neil Armstrong,Michael Collins,Buzz Aldrin,Yuri Gagarin,Neil Armstrong
First person on the Moon?,Michael Collins,Neil Armstrong,Buzz Aldrin,Yuri Gagarin,Neil Armstrong
What protects Earth from solar winds?,Atmosphere,Ozone Layer,Clouds,Magnetosphere,Magnetosphere
Which is the largest desert?,Gobi,Antarctic,Kalahari,Sahara,Antarctic
Which river is the longest in the world?,Yangtze,Amazon,Mississippi,Nile,Nile
Where is Mount Everest located?,India,Bhutan,Nepal,China,Nepal
Which is the largest desert?,Sahara,Kalahari,Antarctic,Gobi,Antarctic
Which planet is known as the Red Planet?,Venus,Mars,Mercury,Jupiter,Mars
What is the largest planet in our solar system?,Jupiter,Saturn,Earth,Mars,Jupiter
Which continent has the most countries?,Africa,Europe,Asia,South America,Africa
Which is the largest desert?,Kalahari,Antarctic,Sahara,Gobi,Antarctic
Which is the largest desert?,Gobi,Sahara,Antarctic,Kalahari,Antarctic
Which continent has the most countries?,Europe,South America,Asia,Africa,Africa
What is the capital of Australia?,Canberra,Melbourne,Brisbane,Sydney,Canberra
What is the smallest country?,Tuvalu,Vatican City,Nauru,Monaco,Vatican City
Which planet is known as the Red Planet?,Mars,Jupiter,Mercury,Venus,Mars
Which country has the most islands?,Indonesia,Sweden,Philippines,Finland,Sweden
Which is the largest ocean?,Indian,Atlantic,Arctic,Pacific,Pacific
Which is the hottest planet in the solar system?,Mars,Neptune,Venus,Mercury,Venus
What is the largest planet in our solar system?,Mars,Jupiter,Earth,Saturn,Jupiter
Where is Mount Everest located?,Nepal,India,China,Bhutan,Nepal
Which continent has the most countries?,Europe,Asia,South America,Africa,Africa
What is the largest planet in our solar system?,Saturn,Mars,Jupiter,Earth,Jupiter
Which country has the most islands?,Finland,Indonesia,Sweden,Philippines,Sweden
Where is Mount Everest located?,Nepal,India,Bhutan,China,Nepal
Which galaxy do we live in?,Milky Way,Andromeda,Whirlpool,Sombrero,Milky Way
Where is Mount Everest located?,Nepal,India,Bhutan,China,Nepal
First person on the Moon?,Michael Collins,Neil Armstrong,Yuri Gagarin,Buzz Aldrin,Neil Armstrong
What is the largest planet in our solar system?,Mars,Saturn,Jupiter,Earth,Jupiter
Which planet is known as the Red Planet?,Mercury,Venus,Mars,Jupiter,Mars
What is the capital of Australia?,Canberra,Melbourne,Brisbane,Sydney,Canberra
Which is the largest desert?,Kalahari,Antarctic,Sahara,Gobi,Antarctic
Which planet has the most moons?,Saturn,Earth,Jupiter,Mars,Saturn
What protects Earth from solar winds?,Ozone Layer,Clouds,Atmosphere,Magnetosphere,Magnetosphere
Which planet has the most moons?,Earth,Jupiter,Mars,Saturn,Saturn
Which galaxy do we live in?,Sombrero,Milky Way,Andromeda,Whirlpool,Milky Way
Which is the largest desert?,Kalahari,Sahara,Antarctic,Gobi,Antarctic
Which planet has the most moons?,Mars,Jupiter,Earth,Saturn,Saturn
What is the largest planet in our solar system?,Jupiter,Earth,Mars,Saturn,Jupiter
First person on the Moon?,Michael Collins,Buzz Aldrin,Yuri Gagarin,Neil Armstrong,Neil Armstrong
What protects Earth from solar winds?,Clouds,Magnetosphere,Ozone Layer,Atmosphere,Magnetosphere
What protects Earth from solar winds?,Magnetosphere,Ozone Layer,Atmosphere,Clouds,Magnetosphere
Which planet is farthest from the sun?,Jupiter,Uranus,Saturn,Neptune,Neptune
What protects Earth from solar winds?,Magnetosphere,Atmosphere,Clouds,Ozone Layer,Magnetosphere
Which river is the longest in the world?,Amazon,Nile,Mississippi,Yangtze,Nile
Which galaxy do we live in?,Milky Way,Whirlpool,Sombrero,Andromeda,Milky Way
Which planet is known as the Red Planet?,Mars,Mercury,Venus,Jupiter,Mars
Which is the largest desert?,Sahara,Antarctic,Kalahari,Gobi,Antarctic
Which is the hottest planet in the solar system?,Neptune,Mercury,Mars,Venus,Venus
Which galaxy do we live in?,Milky Way,Sombrero,Andromeda,Whirlpool,Milky Way
Which is the largest desert?,Kalahari,Sahara,Antarctic,Gobi,Antarctic
What is the largest planet in our solar system?,Earth,Jupiter,Mars,Saturn,Jupiter
What protects Earth from solar winds?,Ozone Layer,Atmosphere,Magnetosphere,Clouds,Magnetosphere
What is the largest planet in our solar system?,Jupiter,Mars,Earth,Saturn,Jupiter
Which is the hottest planet in the solar system?,Venus,Mercury,Mars,Neptune,Venus
Which continent has the most countries?,South America,Europe,Africa,Asia,Africa
Where is Mount Everest located?,India,Nepal,China,Bhutan,Nepal
Where is Mount Everest located?,Bhutan,Nepal,China,India,Nepal
Which is the largest desert?,Antarctic,Sahara,Gobi,Kalahari,Antarctic
Where is Mount Everest located?,Nepal,Bhutan,China,India,Nepal
Which galaxy do we live in?,Milky Way,Whirlpool,Andromeda,Sombrero,Milky Way
Where is Mount Everest located?,Bhutan,Nepal,India,China,Nepal
Which is the largest ocean?,Atlantic,Pacific,Arctic,Indian,Pacific
Which is the hottest planet in the solar system?,Neptune,Mars,Venus,Mercury,Venus
First person on the Moon?,Michael Collins,Buzz Aldrin,Yuri Gagarin,Neil Armstrong,Neil Armstrong
Which continent has the most countries?,South America,Europe,Africa,Asia,Africa
Which planet has the most moons?,Saturn,Jupiter,Mars,Earth,Saturn
Which river is the longest in the world?,Amazon,Mississippi,Nile,Yangtze,Nile
Which country has the most islands?,Sweden,Indonesia,Philippines,Finland,Sweden
Which continent has the most countries?,Asia,Europe,Africa,South America,Africa
Which galaxy do we live in?,Andromeda,Milky Way,Sombrero,Whirlpool,Milky Way
Which is the largest ocean?,Pacific,Indian,Atlantic,Arctic,Pacific
Which planet is farthest from the sun?,Neptune,Saturn,Uranus,Jupiter,Neptune
Which planet has the most moons?,Earth,Jupiter,Saturn,Mars,Saturn
What protects Earth from solar winds?,Ozone Layer,Atmosphere,Magnetosphere,Clouds,Magnetosphere
Which is the largest desert?,Sahara,Gobi,Antarctic,Kalahari,Antarctic
Which is the largest ocean?,Pacific,Arctic,Indian,Atlantic,Pacific
What is the capital of Australia?,Canberra,Sydney,Brisbane,Melbourne,Canberra
What is the capital of Australia?,Melbourne,Sydney,Brisbane,Canberra,Canberra
Which is the hottest planet in the solar system?,Venus,Mars,Neptune,Mercury,Venus
Which is the hottest planet in the solar system?,Mars,Neptune,Venus,Mercury,Venus
Which is the hottest planet in the solar system?,Venus,Neptune,Mars,Mercury,Venus
Which river is the longest in the world?,Nile,Yangtze,Mississippi,Amazon,Nile
Which is the largest ocean?,Indian,Atlantic,Pacific,Arctic,Pacific
Where is Mount Everest located?,Bhutan,Nepal,China,India,Nepal
What is the smallest country?,Nauru,Monaco,Vatican City,Tuvalu,Vatican City
What is the smallest country?,Vatican City,Nauru,Tuvalu,Monaco,Vatican City
Which is the largest ocean?,Arctic,Indian,Atlantic,Pacific,Pacific
Which country has the most islands?,Philippines,Indonesia,Finland,Sweden,Sweden
Where is Mount Everest located?,Bhutan,Nepal,China,India,Nepal
Which is the hottest planet in the solar system?,Neptune,Venus,Mars,Mercury,Venus
What is the smallest country?,Tuvalu,Monaco,Nauru,Vatican City,Vatican City
Which planet is farthest from the sun?,Jupiter,Neptune,Uranus,Saturn,Neptune
Which galaxy do we live in?,Whirlpool,Andromeda,Sombrero,Milky Way,Milky Way
Which river is the longest in the world?,Mississippi,Amazon,Nile,Yangtze,Nile
Which is the largest desert?,Sahara,Antarctic,Gobi,Kalahari,Antarctic
What protects Earth from solar winds?,Clouds,Ozone Layer,Magnetosphere,Atmosphere,Magnetosphere
Which continent has the most countries?,Africa,South America,Asia,Europe,Africa
What is the smallest country?,Vatican City,Tuvalu,Monaco,Nauru,Vatican City
First person on the Moon?,Michael Collins,Yuri Gagarin,Neil Armstrong,Buzz Aldrin,Neil Armstrong
Which river is the longest in the world?,Amazon,Mississippi,Yangtze,Nile,Nile
Which planet is farthest from the sun?,Neptune,Saturn,Jupiter,Uranus,Neptune
Where is Mount Everest located?,China,Nepal,Bhutan,India,Nepal
First person on the Moon?,Buzz Aldrin,Michael Collins,Neil Armstrong,Yuri Gagarin,Neil Armstrong
Which river is the longest in the world?,Nile,Yangtze,Amazon,Mississippi,Nile
Which planet is known as the Red Planet?,Mars,Mercury,Venus,Jupiter,Mars
Which is the hottest planet in the solar system?,Mercury,Mars,Neptune,Venus,Venus
First person on the Moon?,Yuri Gagarin,Michael Collins,Neil Armstrong,Buzz Aldrin,Neil Armstrong
Which planet has the most moons?,Mars,Jupiter,Earth,Saturn,Saturn
Which planet is farthest from the sun?,Neptune,Saturn,Uranus,Jupiter,Neptune
Which river is the longest in the world?,Mississippi,Nile,Amazon,Yangtze,Nile
First person on the Moon?,Buzz Aldrin,Neil Armstrong,Michael Collins,Yuri Gagarin,Neil Armstrong
What is the largest planet in our solar system?,Jupiter,Earth,Saturn,Mars,Jupiter
Which river is the longest in the world?,Mississippi,Amazon,Nile,Yangtze,Nile
Which galaxy do we live in?,Andromeda,Whirlpool,Sombrero,Milky Way,Milky Way
Which galaxy do we live in?,Sombrero,Andromeda,Milky Way,Whirlpool,Milky Way
Which planet has the most moons?,Mars,Jupiter,Saturn,Earth,Saturn
Which planet is known as the Red Planet?,Jupiter,Venus,Mercury,Mars,Mars
Which river is the longest in the world?,Nile,Yangtze,Amazon,Mississippi,Nile
Which planet has the most moons?,Saturn,Jupiter,Mars,Earth,Saturn
Which planet is farthest from the sun?,Uranus,Jupiter,Neptune,Saturn,Neptune
Which is the largest desert?,Antarctic,Kalahari,Sahara,Gobi,Antarctic
Which river is the longest in the world?,Nile,Mississippi,Yangtze,Amazon,Nile
What protects Earth from solar winds?,Ozone Layer,Magnetosphere,Atmosphere,Clouds,Magnetosphere
Which galaxy do we live in?,Milky Way,Andromeda,Sombrero,Whirlpool,Milky Way
Where is Mount Everest located?,Nepal,Bhutan,India,China,Nepal
Which galaxy do we live in?,Andromeda,Sombrero,Milky Way,Whirlpool,Milky Way
Which galaxy do we live in?,Whirlpool,Andromeda,Milky Way,Sombrero,Milky Way
What protects Earth from solar winds?,Magnetosphere,Clouds,Atmosphere,Ozone Layer,Magnetosphere
Which country has the most islands?,Finland,Philippines,Sweden,Indonesia,Sweden
Which is the hottest planet in the solar system?,Mars,Neptune,Venus,Mercury,Venus
What protects Earth from solar winds?,Magnetosphere,Clouds,Atmosphere,Ozone Layer,Magnetosphere
What is the capital of Australia?,Melbourne,Brisbane,Sydney,Canberra,Canberra
Which is the largest ocean?,Arctic,Pacific,Atlantic,Indian,Pacific
Which river is the longest in the world?,Mississippi,Amazon,Nile,Yangtze,Nile
Where is Mount Everest located?,Nepal,China,India,Bhutan,Nepal
Which galaxy do we live in?,Milky Way,Sombrero,Andromeda,Whirlpool,Milky Way
Which planet has the most moons?,Jupiter,Earth,Mars,Saturn,Saturn
Which planet has the most moons?,Earth,Jupiter,Mars,Saturn,Saturn
What protects Earth from solar winds?,Ozone Layer,Magnetosphere,Clouds,Atmosphere,Magnetosphere
What protects Earth from solar winds?,Atmosphere,Clouds,Ozone Layer,Magnetosphere,Magnetosphere
Which is the hottest planet in the solar system?,Mars,Mercury,Venus,Neptune,Venus
Which is the largest desert?,Antarctic,Kalahari,Gobi,Sahara,Antarctic
Which country has the most islands?,Philippines,Finland,Indonesia,Sweden,Sweden
What is the smallest country?,Monaco,Tuvalu,Nauru,Vatican City,Vatican City
Where is Mount Everest located?,China,Bhutan,Nepal,India,Nepal
What protects Earth from solar winds?,Magnetosphere,Atmosphere,Ozone Layer,Clouds,Magnetosphere
Which planet has the most moons?,Earth,Jupiter,Saturn,Mars,Saturn
Which continent has the most countries?,Europe,Asia,South America,Africa,Africa
Which planet is known as the Red Planet?,Jupiter,Venus,Mercury,Mars,Mars
Which river is the longest in the world?,Mississippi,Yangtze,Amazon,Nile,Nile
Which planet is known as the Red Planet?,Venus,Mercury,Mars,Jupiter,Mars
Which planet is farthest from the sun?,Saturn,Uranus,Jupiter,Neptune,Neptune
Which continent has the most countries?,Africa,South America,Europe,Asia,Africa
Which planet is farthest from the sun?,Neptune,Saturn,Uranus,Jupiter,Neptune
What is the smallest country?,Vatican City,Nauru,Monaco,Tuvalu,Vatican City
Which country has the most islands?,Philippines,Sweden,Indonesia,Finland,Sweden
Which country has the most islands?,Finland,Indonesia,Sweden,Philippines,Sweden
What protects Earth from solar winds?,Atmosphere,Clouds,Magnetosphere,Ozone Layer,Magnetosphere
First person on the Moon?,Buzz Aldrin,Yuri Gagarin,Michael Collins,Neil Armstrong,Neil Armstrong
What is the smallest country?,Nauru,Tuvalu,Monaco,Vatican City,Vatican City
Which is the hottest planet in the solar system?,Mercury,Neptune,Venus,Mars,Venus
Which galaxy do we live in?,Whirlpool,Sombrero,Milky Way,Andromeda,Milky Way
Which planet is farthest from the sun?,Saturn,Jupiter,Neptune,Uranus,Neptune
Which is the largest desert?,Sahara,Antarctic,Gobi,Kalahari,Antarctic
Which country has the most islands?,Finland,Indonesia,Philippines,Sweden,Sweden
Which is the largest desert?,Antarctic,Sahara,Kalahari,Gobi,Antarctic
Where is Mount Everest located?,India,Nepal,Bhutan,China,Nepal
First person on the Moon?,Neil Armstrong,Michael Collins,Buzz Aldrin,Yuri Gagarin,Neil Armstrong
What protects Earth from solar winds?,Magnetosphere,Clouds,Ozone Layer,Atmosphere,Magnetosphere
Which is the largest ocean?,Arctic,Pacific,Atlantic,Indian,Pacific
What is the smallest country?,Nauru,Tuvalu,Vatican City,Monaco,Vatican City
Which continent has the most countries?,Africa,South America,Asia,Europe,Africa
Which is the hottest planet in the solar system?,Venus,Mercury,Mars,Neptune,Venus
What protects Earth from solar winds?,Atmosphere,Magnetosphere,Ozone Layer,Clouds,Magnetosphere
What is the smallest country?,Monaco,Vatican City,Tuvalu,Nauru,Vatican City
Which planet is farthest from the sun?,Uranus,Neptune,Jupiter,Saturn,Neptune
Which planet is known as the Red Planet?,Venus,Mercury,Jupiter,Mars,Mars
Which planet is known as the Red Planet?,Jupiter,Mars,Mercury,Venus,Mars
Which galaxy do we live in?,Sombrero,Andromeda,Whirlpool,Milky Way,Milky Way
First person on the Moon?,Yuri Gagarin,Buzz Aldrin,Michael Collins,Neil Armstrong,Neil Armstrong
Which is the largest desert?,Gobi,Kalahari,Antarctic,Sahara,Antarctic
Which country has the most islands?,Finland,Philippines,Sweden,Indonesia,Sweden
Which galaxy do we live in?,Milky Way,Andromeda,Whirlpool,Sombrero,Milky Way
What is the largest planet in our solar system?,Mars,Jupiter,Earth,Saturn,Jupiter
Which is the largest desert?,Antarctic,Sahara,Gobi,Kalahari,Antarctic
Where is Mount Everest located?,India,Bhutan,China,Nepal,Nepal
First person on the Moon?,Yuri Gagarin,Neil Armstrong,Michael Collins,Buzz Aldrin,Neil Armstrong
What is the largest planet in our solar system?,Earth,Saturn,Mars,Jupiter,Jupiter
Which planet is known as the Red Planet?,Venus,Mercury,Jupiter,Mars,Mars
Which planet has the most moons?,Jupiter,Earth,Mars,Saturn,Saturn
Which is the largest ocean?,Indian,Pacific,Arctic,Atlantic,Pacific
Which river is the longest in the world?,Mississippi,Amazon,Yangtze,Nile,Nile
Which galaxy do we live in?,Milky Way,Andromeda,Whirlpool,Sombrero,Milky Way
What protects Earth from solar winds?,Ozone Layer,Magnetosphere,Atmosphere,Clouds,Magnetosphere
Which is the largest desert?,Antarctic,Gobi,Sahara,Kalahari,Antarctic
What is the smallest country?,Vatican City,Monaco,Tuvalu,Nauru,Vatican City
What is the smallest country?,Monaco,Nauru,Tuvalu,Vatican City,Vatican City
First person on the Moon?,Michael Collins,Neil Armstrong,Yuri Gagarin,Buzz Aldrin,Neil Armstrong
Which continent has the most countries?,South America,Africa,Asia,Europe,Africa
First person on the Moon?,Yuri Gagarin,Michael Collins,Buzz Aldrin,Neil Armstrong,Neil Armstrong
Which continent has the most countries?,Europe,South America,Asia,Africa,Africa
What is the largest planet in our solar system?,Saturn,Mars,Jupiter,Earth,Jupiter
First person on the Moon?,Michael Collins,Buzz Aldrin,Neil Armstrong,Yuri Gagarin,Neil Armstrong
Which country has the most islands?,Philippines,Sweden,Indonesia,Finland,Sweden
Which planet is known as the Red Planet?,Mars,Mercury,Venus,Jupiter,Mars
Which planet has the most moons?,Saturn,Earth,Mars,Jupiter,Saturn
Which planet is farthest from the sun?,Jupiter,Saturn,Uranus,Neptune,Neptune
Which river is the longest in the world?,Mississippi,Amazon,Yangtze,Nile,Nile
Which planet is farthest from the sun?,Jupiter,Neptune,Saturn,Uranus,Neptune
Which galaxy do we live in?,Whirlpool,Andromeda,Sombrero,Milky Way,Milky Way
Where is Mount Everest located?,India,Bhutan,China,Nepal,Nepal
Which planet is known as the Red Planet?,Jupiter,Mercury,Venus,Mars,Mars
Which is the largest desert?,Antarctic,Gobi,Kalahari,Sahara,Antarctic
Which planet is farthest from the sun?,Jupiter,Neptune,Uranus,Saturn,Neptune
Which planet is known as the Red Planet?,Jupiter,Mercury,Mars,Venus,Mars
Which is the largest desert?,Antarctic,Kalahari,Sahara,Gobi,Antarctic
Which is the largest desert?,Kalahari,Gobi,Sahara,Antarctic,Antarctic
Which galaxy do we live in?,Andromeda,Sombrero,Whirlpool,Milky Way,Milky Way
Which galaxy do we live in?,Whirlpool,Andromeda,Sombrero,Milky Way,Milky Way
Which is the hottest planet in the solar system?,Mars,Mercury,Neptune,Venus,Venus
Which country has the most islands?,Philippines,Finland,Indonesia,Sweden,Sweden
Which river is the longest in the world?,Mississippi,Amazon,Yangtze,Nile,Nile
Which is the largest ocean?,Indian,Arctic,Pacific,Atlantic,Pacific
Where is Mount Everest located?,Nepal,China,India,Bhutan,Nepal
Which galaxy do we live in?,Andromeda,Whirlpool,Sombrero,Milky Way,Milky Way
Which galaxy do we live in?,Sombrero,Whirlpool,Andromeda,Milky Way,Milky Way
Which galaxy do we live in?,Andromeda,Sombrero,Milky Way,Whirlpool,Milky Way
Which planet has the most moons?,Saturn,Mars,Jupiter,Earth,Saturn
Which planet is known as the Red Planet?,Mercury,Venus,Mars,Jupiter,Mars
Which galaxy do we live in?,Andromeda,Milky Way,Sombrero,Whirlpool,Milky Way
Which galaxy do we live in?,Milky Way,Whirlpool,Sombrero,Andromeda,Milky Way
What protects Earth from solar winds?,Atmosphere,Clouds,Ozone Layer,Magnetosphere,Magnetosphere
Which planet is known as the Red Planet?,Jupiter,Mercury,Mars,Venus,Mars
Which river is the longest in the world?,Nile,Amazon,Mississippi,Yangtze,Nile
Which galaxy do we live in?,Andromeda,Whirlpool,Milky Way,Sombrero,Milky Way
Which country has the most islands?,Philippines,Sweden,Indonesia,Finland,Sweden
Which planet has the most moons?,Jupiter,Saturn,Earth,Mars,Saturn
Which is the largest ocean?,Atlantic,Arctic,Indian,Pacific,Pacific
Which planet is known as the Red Planet?,Mercury,Jupiter,Venus,Mars,Mars
Where is Mount Everest located?,India,Nepal,China,Bhutan,Nepal
What protects Earth from solar winds?,Magnetosphere,Clouds,Ozone Layer,Atmosphere,Magnetosphere
Which is the largest desert?,Antarctic,Sahara,Gobi,Kalahari,Antarctic
First person on the Moon?,Neil Armstrong,Yuri Gagarin,Michael Collins,Buzz Aldrin,Neil Armstrong
Which planet has the most moons?,Jupiter,Mars,Saturn,Earth,Saturn
What is the smallest country?,Monaco,Vatican City,Tuvalu,Nauru,Vatican City
Which river is the longest in the world?,Amazon,Yangtze,Nile,Mississippi,Nile
Which is the largest desert?,Kalahari,Sahara,Antarctic,Gobi,Antarctic
Which is the largest ocean?,Indian,Arctic,Atlantic,Pacific,Pacific
First person on the Moon?,Yuri Gagarin,Neil Armstrong,Buzz Aldrin,Michael Collins,Neil Armstrong
Which planet is farthest from the sun?,Saturn,Neptune,Uranus,Jupiter,Neptune
What protects Earth from solar winds?,Magnetosphere,Ozone Layer,Clouds,Atmosphere,Magnetosphere
Which planet is farthest from the sun?,Saturn,Neptune,Uranus,Jupiter,Neptune
What is the smallest country?,Vatican City,Nauru,Tuvalu,Monaco,Vatican City
Which is the largest desert?,Gobi,Sahara,Antarctic,Kalahari,Antarctic
What is the capital of Australia?,Brisbane,Sydney,Canberra,Melbourne,Canberra
Which is the hottest planet in the solar system?,Mars,Venus,Neptune,Mercury,Venus
Which galaxy do we live in?,Sombrero,Milky Way,Whirlpool,Andromeda,Milky Way
Which planet is farthest from the sun?,Neptune,Saturn,Jupiter,Uranus,Neptune
Which planet has the most moons?,Earth,Saturn,Jupiter,Mars,Saturn
Which is the largest desert?,Sahara,Gobi,Antarctic,Kalahari,Antarctic
Which continent has the most countries?,Europe,South America,Africa,Asia,Africa
Which is the hottest planet in the solar system?,Neptune,Mars,Mercury,Venus,Venus
First person on the Moon?,Yuri Gagarin,Buzz Aldrin,Michael Collins,Neil Armstrong,Neil Armstrong
What is the largest planet in our solar system?,Jupiter,Saturn,Earth,Mars,Jupiter
Where is Mount Everest located?,India,Bhutan,Nepal,China,Nepal
Which galaxy do we live in?,Andromeda,Whirlpool,Milky Way,Sombrero,Milky Way
Which planet is known as the Red Planet?,Mars,Jupiter,Mercury,Venus,Mars
What is the largest planet in our solar system?,Saturn,Earth,Jupiter,Mars,Jupiter
What protects Earth from solar winds?,Magnetosphere,Ozone Layer,Clouds,Atmosphere,Magnetosphere
Which country has the most islands?,Indonesia,Sweden,Finland,Philippines,Sweden
Which planet is known as the Red Planet?,Jupiter,Venus,Mars,Mercury,Mars
Which is the largest desert?,Sahara,Gobi,Kalahari,Antarctic,Antarctic
Which is the largest ocean?,Arctic,Atlantic,Pacific,Indian,Pacific
Which planet is known as the Red Planet?,Mars,Mercury,Venus,Jupiter,Mars
Which country has the most islands?,Finland,Indonesia,Philippines,Sweden,Sweden
Which river is the longest in the world?,Mississippi,Yangtze,Amazon,Nile,Nile
What protects Earth from solar winds?,Magnetosphere,Clouds,Ozone Layer,Atmosphere,Magnetosphere
Which planet is known as the Red Planet?,Mercury,Venus,Jupiter,Mars,Mars
First person on the Moon?,Michael Collins,Neil Armstrong,Yuri Gagarin,Buzz Aldrin,Neil Armstrong
Which is the hottest planet in the solar system?,Mars,Mercury,Venus,Neptune,Venus
What is the smallest country?,Monaco,Vatican City,Tuvalu,Nauru,Vatican City
Which continent has the most countries?,South America,Africa,Asia,Europe,Africa
What protects Earth from solar winds?,Atmosphere,Clouds,Ozone Layer,Magnetosphere,Magnetosphere
Which is the largest desert?,Antarctic,Gobi,Sahara,Kalahari,Antarctic
Where is Mount Everest located?,Bhutan,Nepal,India,China,Nepal
Which is the largest ocean?,Indian,Pacific,Arctic,Atlantic,Pacific
Which is the largest ocean?,Atlantic,Pacific,Arctic,Indian,Pacific
First person on the Moon?,Yuri Gagarin,Neil Armstrong,Michael Collins,Buzz Aldrin,Neil Armstrong
What is the smallest country?,Vatican City,Monaco,Tuvalu,Nauru,Vatican City
What protects Earth from solar winds?,Clouds,Magnetosphere,Atmosphere,Ozone Layer,Magnetosphere
Which is the largest desert?,Sahara,Gobi,Antarctic,Kalahari,Antarctic
Which planet is farthest from the sun?,Jupiter,Neptune,Uranus,Saturn,Neptune
Which is the hottest planet in the solar system?,Mercury,Venus,Mars,Neptune,Venus
First person on the Moon?,Michael Collins,Buzz Aldrin,Yuri Gagarin,Neil Armstrong,Neil Armstrong
Which planet has the most moons?,Jupiter,Earth,Mars,Saturn,Saturn
Which planet has the most moons?,Saturn,Mars,Earth,Jupiter,Saturn
Where is Mount Everest located?,India,Nepal,China,Bhutan,Nepal
What is the capital of Australia?,Brisbane,Sydney,Melbourne,Canberra,Canberra
What is the smallest country?,Monaco,Nauru,Tuvalu,Vatican City,Vatican City
What is the smallest country?,Monaco,Nauru,Vatican City,Tuvalu,Vatican City
Which country has the most islands?,Sweden,Finland,Philippines,Indonesia,Sweden
Where is Mount Everest located?,India,Bhutan,China,Nepal,Nepal
Which country has the most islands?,Finland,Indonesia,Sweden,Philippines,Sweden
Which is the largest ocean?,Indian,Atlantic,Pacific,Arctic,Pacific
Which river is the longest in the world?,Mississippi,Amazon,Yangtze,Nile,Nile
Which river is the longest in the world?,Yangtze,Amazon,Mississippi,Nile,Nile
Which planet is known as the Red Planet?,Mercury,Mars,Jupiter,Venus,Mars
Which is the largest desert?,Kalahari,Antarctic,Gobi,Sahara,Antarctic
Which planet is farthest from the sun?,Jupiter,Saturn,Neptune,Uranus,Neptune
What is the smallest country?,Nauru,Tuvalu,Monaco,Vatican City,Vatican City
Which planet has the most moons?,Jupiter,Mars,Earth,Saturn,Saturn
Which continent has the most countries?,Europe,South America,Asia,Africa,Africa
